Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-11-24T09:17:01.289Z","Included","auto","No","48148","0","477440","2872","528460","0.20"
"2025-11-24T08:59:47.247Z","Included","auto","No","26288","0","433408","3318","463014","0.16"
"2025-11-24T08:53:34.757Z","Included","auto","No","40618","0","550144","8623","599385","0.24"
"2025-11-24T08:39:57.963Z","Included","auto","No","34367","0","441856","4053","480276","0.18"
"2025-11-24T08:32:53.110Z","Included","auto","No","37018","0","203264","3997","244279","0.12"
"2025-11-24T08:05:04.672Z","Included","auto","No","25547","0","203520","4223","233290","0.11"
"2025-11-24T07:37:20.493Z","Included","auto","No","12363","0","336640","1354","350357","0.11"
"2025-11-24T07:33:40.618Z","Included","auto","No","14427","0","522752","4524","541703","0.18"
"2025-11-24T07:29:55.728Z","Included","auto","No","11825","0","428800","4163","444788","0.15"
"2025-11-24T07:26:08.060Z","Included","auto","No","31286","0","137216","1963","170465","0.09"
"2025-11-24T07:22:07.344Z","Included","auto","No","7971","0","400640","3979","412590","0.13"
"2025-11-24T07:15:34.052Z","Included","auto","No","59124","0","530176","5666","594966","0.24"
"2025-11-24T06:40:43.704Z","Included","auto","No","18989","0","780544","4433","803966","0.25"
"2025-11-24T06:38:14.807Z","Included","auto","No","5600","0","459264","1709","466573","0.13"
"2025-11-24T06:35:48.865Z","Included","auto","No","9436","0","354304","1496","365236","0.11"
"2025-11-24T06:30:54.878Z","Included","auto","No","12323","0","571392","6916","590631","0.20"
"2025-11-24T06:28:06.972Z","Included","auto","No","5188","0","335104","3257","343549","0.11"
"2025-11-24T06:26:55.862Z","Included","auto","No","1948","0","107264","218","109430","0.03"
"2025-11-24T06:22:48.558Z","Included","auto","No","11101","0","287488","2269","300858","0.10"
"2025-11-24T06:20:07.811Z","Included","auto","No","26127","1554","58112","1192","86985","0.06"
"2025-11-24T06:14:09.957Z","Included","auto","No","25705","0","272896","6298","304899","0.14"
"2025-11-24T06:10:41.022Z","Included","auto","No","10805","0","46080","1127","58012","0.03"
"2025-11-24T02:42:50.053Z","Included","agent_review","No","0","0","0","0","0","0.00"
"2025-11-21T14:17:13.940Z","Included","auto","No","9223","0","628736","3318","641277","0.19"
"2025-11-21T14:14:48.285Z","Included","auto","No","6127","0","331520","1411","339058","0.10"
"2025-11-21T14:12:22.789Z","Included","auto","No","24333","0","646912","4749","675994","0.22"
"2025-11-21T14:08:48.628Z","Included","auto","No","11741","0","458752","4118","474611","0.15"
"2025-11-21T14:06:14.203Z","Included","auto","No","47270","0","440320","3482","491072","0.19"
"2025-11-21T13:18:36.395Z","Included","auto","No","10259","3045","1062400","3421","1079125","0.30"
"2025-11-21T13:15:28.485Z","Included","auto","No","6520","0","857088","3139","866747","0.24"
"2025-11-21T13:12:27.628Z","Included","auto","No","9628","0","540160","1244","551032","0.15"
